,end_date,start_date,utility_id,date,utility
0,2017-06-16 23:00:00-08:00,2017-06-16 00:00:00-08:00,14328,2017-06-16,PGE
1,2017-06-19 23:00:00-08:00,2017-06-19 00:00:00-08:00,14328,2017-06-19,PGE
2,2017-06-20 23:00:00-08:00,2017-06-20 00:00:00-08:00,14328,2017-06-20,PGE
3,2017-06-22 23:00:00-08:00,2017-06-22 00:00:00-08:00,14328,2017-06-22,PGE
4,2017-06-23 23:00:00-08:00,2017-06-23 00:00:00-08:00,14328,2017-06-23,PGE
5,2017-07-07 23:00:00-08:00,2017-07-07 00:00:00-08:00,14328,2017-07-07,PGE
6,2017-07-27 23:00:00-08:00,2017-07-27 00:00:00-08:00,14328,2017-07-27,PGE
7,2017-07-31 23:00:00-08:00,2017-07-31 00:00:00-08:00,14328,2017-07-31,PGE
8,2017-08-01 23:00:00-08:00,2017-08-01 00:00:00-08:00,14328,2017-08-01,PGE
9,2017-08-02 23:00:00-08:00,2017-08-02 00:00:00-08:00,14328,2017-08-02,PGE
10,2017-08-28 23:00:00-08:00,2017-08-28 00:00:00-08:00,14328,2017-08-28,PGE
11,2017-08-29 23:00:00-08:00,2017-08-29 00:00:00-08:00,14328,2017-08-29,PGE
12,2017-08-31 23:00:00-08:00,2017-08-31 00:00:00-08:00,14328,2017-08-31,PGE
13,2017-09-01 23:00:00-08:00,2017-09-01 00:00:00-08:00,14328,2017-09-01,PGE
14,2017-09-02 23:00:00-08:00,2017-09-02 00:00:00-08:00,14328,2017-09-02,PGE
15,2017-06-19 23:00:00-08:00,2017-06-19 00:00:00-08:00,17609,2017-06-19,SCE
16,2017-06-20 23:00:00-08:00,2017-06-20 00:00:00-08:00,17609,2017-06-20,SCE
17,2017-07-06 23:00:00-08:00,2017-07-06 00:00:00-08:00,17609,2017-07-06,SCE
18,2017-07-07 23:00:00-08:00,2017-07-07 00:00:00-08:00,17609,2017-07-07,SCE
19,2017-07-27 23:00:00-08:00,2017-07-27 00:00:00-08:00,17609,2017-07-27,SCE
20,2017-07-31 23:00:00-08:00,2017-07-31 00:00:00-08:00,17609,2017-07-31,SCE
21,2017-08-01 23:00:00-08:00,2017-08-01 00:00:00-08:00,17609,2017-08-01,SCE
22,2017-08-28 23:00:00-08:00,2017-08-28 00:00:00-08:00,17609,2017-08-28,SCE
23,2017-08-29 23:00:00-08:00,2017-08-29 00:00:00-08:00,17609,2017-08-29,SCE
24,2017-08-31 23:00:00-08:00,2017-08-31 00:00:00-08:00,17609,2017-08-31,SCE
25,2017-09-05 23:00:00-08:00,2017-09-05 00:00:00-08:00,17609,2017-09-05,SCE
26,2017-09-12 23:00:00-08:00,2017-09-12 00:00:00-08:00,17609,2017-09-12,SCE
27,2018-06-12 23:00:00-08:00,2018-06-12 00:00:00-08:00,14328,2018-06-12,PGE
28,2018-06-13 23:00:00-08:00,2018-06-13 00:00:00-08:00,14328,2018-06-13,PGE
29,2018-07-10 23:00:00-08:00,2018-07-10 00:00:00-08:00,14328,2018-07-10,PGE
30,2018-07-16 23:00:00-08:00,2018-07-16 00:00:00-08:00,14328,2018-07-16,PGE
31,2018-07-17 23:00:00-08:00,2018-07-17 00:00:00-08:00,14328,2018-07-17,PGE
32,2018-07-19 23:00:00-08:00,2018-07-19 00:00:00-08:00,14328,2018-07-19,PGE
33,2018-07-24 23:00:00-08:00,2018-07-24 00:00:00-08:00,14328,2018-07-24,PGE
34,2018-07-25 23:00:00-08:00,2018-07-25 00:00:00-08:00,14328,2018-07-25,PGE
35,2018-07-27 23:00:00-08:00,2018-07-27 00:00:00-08:00,14328,2018-07-27,PGE
36,2018-07-06 23:00:00-08:00,2018-07-06 00:00:00-08:00,17609,2018-07-06,SCE
37,2018-07-09 23:00:00-08:00,2018-07-09 00:00:00-08:00,17609,2018-07-09,SCE
38,2018-07-10 23:00:00-08:00,2018-07-10 00:00:00-08:00,17609,2018-07-10,SCE
39,2018-07-17 23:00:00-08:00,2018-07-17 00:00:00-08:00,17609,2018-07-17,SCE
40,2018-07-18 23:00:00-08:00,2018-07-18 00:00:00-08:00,17609,2018-07-18,SCE
41,2018-08-01 23:00:00-08:00,2018-08-01 00:00:00-08:00,17609,2018-08-01,SCE
42,2018-08-02 23:00:00-08:00,2018-08-02 00:00:00-08:00,17609,2018-08-02,SCE
43,2018-08-06 23:00:00-08:00,2018-08-06 00:00:00-08:00,17609,2018-08-06,SCE
44,2018-08-07 23:00:00-08:00,2018-08-07 00:00:00-08:00,17609,2018-08-07,SCE
45,2018-08-09 23:00:00-08:00,2018-08-09 00:00:00-08:00,17609,2018-08-09,SCE
46,2018-09-28 23:00:00-08:00,2018-09-28 00:00:00-08:00,17609,2018-09-28,SCE
47,2018-10-18 23:00:00-08:00,2018-10-18 00:00:00-08:00,17609,2018-10-18,SCE
